ID,Class_ID,Level,Timestamp,Creator_ID,Prize,Defender_Value,Attacker_Value,Coverage_Goal,Mutant_Goal,Attackers_Needed,Defenders_Needed,Start_Time,Finish_Time,MaxAssertionsPerTest,MutantValidator,ChatEnabled,Attackers_Limit,Defenders_Limit,State,CurrentRound,FinalRound,ActiveRole,Mode,RequiresValidation,IsAIDummyGame,HasKillMap,CapturePlayersIntention,Puzzle_ID,EquivalenceThreshold,Game_Duration_Minutes,Classroom_ID,Invite_Only,May_Choose_Role
184,102,HARD,2026-04-18 06:11:10,103,1,100,100,1,1,0,0,2026-04-18 06:11:10,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
185,101,HARD,2026-04-18 06:11:20,103,1,100,100,1,1,0,0,2026-04-18 06:11:20,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
186,102,HARD,2026-04-18 06:41:20,103,1,100,100,1,1,0,0,2026-04-18 06:41:20,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
187,101,HARD,2026-04-18 06:41:30,103,1,100,100,1,1,0,0,2026-04-18 06:41:30,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
188,102,HARD,2026-04-18 07:11:31,103,1,100,100,1,1,0,0,2026-04-18 07:11:31,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
189,101,HARD,2026-04-18 07:11:41,103,1,100,100,1,1,0,0,2026-04-18 07:11:41,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
190,102,HARD,2026-04-18 07:41:41,103,1,100,100,1,1,0,0,2026-04-18 07:41:41,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
191,101,HARD,2026-04-18 07:41:51,103,1,100,100,1,1,0,0,2026-04-18 07:41:51,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
192,102,HARD,2026-04-18 08:11:52,103,1,100,100,1,1,0,0,2026-04-18 08:11:52,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
193,101,HARD,2026-04-18 08:42:02,103,1,100,100,1,1,0,0,2026-04-18 08:42:02,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
194,102,HARD,2026-04-18 09:12:13,103,1,100,100,1,1,0,0,2026-04-18 09:12:13,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
195,101,HARD,2026-04-18 09:42:23,103,1,100,100,1,1,0,0,2026-04-18 09:42:23,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
196,102,HARD,2026-04-18 10:12:34,103,1,100,100,1,1,0,0,2026-04-18 10:12:34,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
197,101,HARD,2026-04-18 10:42:44,103,1,100,100,1,1,0,0,2026-04-18 10:42:44,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
198,101,HARD,2026-04-18 10:54:39,103,1,100,100,1,1,0,0,2026-04-18 10:54:39,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
199,101,HARD,2026-04-18 10:54:39,103,1,100,100,1,1,0,0,2026-04-18 10:54:39,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
200,101,HARD,2026-04-18 10:54:39,103,1,100,100,1,1,0,0,2026-04-18 10:54:39,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
201,101,HARD,2026-04-18 10:54:39,103,1,100,100,1,1,0,0,2026-04-18 10:54:39,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
202,102,HARD,2026-04-18 11:12:56,103,1,100,100,1,1,0,0,2026-04-18 11:12:56,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
203,102,HARD,2026-04-18 11:24:50,103,1,100,100,1,1,0,0,2026-04-18 11:24:50,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
